year,song_title,artist,country,chart_type,chart_position
1983,hold me 'til the mornin' comes,paul anka,us,,40
1987,i wasn't the one,agnetha faltskog,us,,93
1989,after all,cher,us,,6
1991,voices that care,various,us,,11
1997,hard to say i'm sorry,az yet,us,,8
1983,hold me 'til the mornin' comes,paul anka,us,ac,2
1987,i wasn't the one,agnetha faltskog,us,ac,13
1989,after all,cher,us,ac,1
1991,voices that care,various,us,ac,6
1997,hard to say i'm sorry,az yet,us,ac,14
1983,hold me 'til the mornin' comes,paul anka,us,r&b,-
1987,i wasn't the one,agnetha faltskog,us,r&b,-
1989,after all,cher,us,r&b,-
1991,voices that care,various,us,r&b,-
1997,hard to say i'm sorry,az yet,us,r&b,20
1983,hold me 'til the mornin' comes,paul anka,aus,,49
1987,i wasn't the one,agnetha faltskog,aus,,-
1989,after all,cher,aus,,50
1991,voices that care,various,aus,,-
1997,hard to say i'm sorry,az yet,aus,,5
1983,hold me 'til the mornin' comes,paul anka,ger,,-
1987,i wasn't the one,agnetha faltskog,ger,,-
1989,after all,cher,ger,,-
1991,voices that care,various,ger,,-
1997,hard to say i'm sorry,az yet,ger,,72
1983,hold me 'til the mornin' comes,paul anka,uk,,-
1987,i wasn't the one,agnetha faltskog,uk,,-
1989,after all,cher,uk,,84
1991,voices that care,various,uk,,-
1997,hard to say i'm sorry,az yet,uk,,7
