theme_group,year,album_title,album_name,metric_id,metric_value
"\Darkside\""""",2000,The Gift of Game,"\Butterfly\""""",1,1
"\Darkside\""""",2000,The Gift of Game,"\Butterfly\""""",2,1
"\Darkside\""""",2000,The Gift of Game,"\Butterfly\""""",3,21
"\Darkside\""""",2000,The Gift of Game,"\Butterfly\""""",4,4
"\Darkside\""""",2000,The Gift of Game,"\Butterfly\""""",5,1
"\Darkside\""""",2000,The Gift of Game,"\Butterfly\""""",6,2
"\Darkside\""""",2000,The Gift of Game,"\Butterfly\""""",7,1
"\Darkside\""""",2000,The Gift of Game,"\Butterfly\""""",8,8
"\Darkside\""""",2000,The Gift of Game,"\Butterfly\""""",9,1
"\Darkside\""""",2000,The Gift of Game,"\Butterfly\""""",10,3
"\Darkside\""""",2001,The Gift of Game,"\Revolving Door\""""",4,76
"\Darkside\""""",2001,The Gift of Game,"\Revolving Door\""""",5,29
"\Darkside\""""",2001,The Gift of Game,"\Revolving Door\""""",6,19
"\Darkside\""""",2001,The Gift of Game,"\Revolving Door\""""",7,26
"\Darkside\""""",2001,The Gift of Game,"\Revolving Door\""""",8,71
"\Darkside\""""",2001,The Gift of Game,"\Revolving Door\""""",9,43
"\Darkside\""""",2001,The Gift of Game,"\Revolving Door\""""",10,23
"\Darkside\""""",2002,Darkhorse,"\Drowning\""""",2,24
"\Darkside\""""",2002,Darkhorse,"\Drowning\""""",3,24
"\Darkside\""""",2002,Darkhorse,"\Drowning\""""",5,45
"\Darkside\""""",2002,Darkhorse,"\Drowning\""""",7,45
"\Darkside\""""",2002,Darkhorse,"\Drowning\""""",10,50
