section,category,dimension_group,metric_type,value
,farms under 130 acres,group_1,number,273.0
,farms under 130 acres,group_1,percent,30.7
,farms under 130 acres,group_2,number,241.0
,farms under 130 acres,group_2,percent,40.4
,farms under 130 acres,group_3,number,202.0
,farms under 130 acres,group_3,percent,51.3
,farms under 130 acres,group_4,number,996.0
,farms under 130 acres,group_4,percent,38.1
,farms between 130 and 399 acres,group_1,number,297.0
,farms between 130 and 399 acres,group_1,percent,33.4
,farms between 130 and 399 acres,group_2,number,201.0
,farms between 130 and 399 acres,group_2,percent,33.7
,farms between 130 and 399 acres,group_3,number,99.0
,farms between 130 and 399 acres,group_3,percent,25.1
,farms between 130 and 399 acres,group_4,number,855.0
,farms between 130 and 399 acres,group_4,percent,32.7
,"farms between 400 and 1,119 acres",group_1,number,244.0
,"farms between 400 and 1,119 acres",group_1,percent,27.4
,"farms between 400 and 1,119 acres",group_2,number,129.0
,"farms between 400 and 1,119 acres",group_2,percent,21.6
,"farms between 400 and 1,119 acres",group_3,number,74.0
,"farms between 400 and 1,119 acres",group_3,percent,18.8
,"farms between 400 and 1,119 acres",group_4,number,618.0
,"farms between 400 and 1,119 acres",group_4,percent,23.7
,"farms between 1,120 and 2,879 acres",group_1,number,63.0
,"farms between 1,120 and 2,879 acres",group_1,percent,7.1
,"farms between 1,120 and 2,879 acres",group_2,number,24.0
,"farms between 1,120 and 2,879 acres",group_2,percent,4.0
,"farms between 1,120 and 2,879 acres",group_3,number,15.0
,"farms between 1,120 and 2,879 acres",group_3,percent,3.8
,"farms between 1,120 and 2,879 acres",group_4,number,122.0
,"farms between 1,120 and 2,879 acres",group_4,percent,4.7
,"farms 2,880 acres and over",group_1,number,12.0
,"farms 2,880 acres and over",group_1,percent,1.3
,"farms 2,880 acres and over",group_2,number,2.0
,"farms 2,880 acres and over",group_2,percent,0.3
,"farms 2,880 acres and over",group_3,number,4.0
,"farms 2,880 acres and over",group_3,percent,1.0
,"farms 2,880 acres and over",group_4,number,20.0
,"farms 2,880 acres and over",group_4,percent,0.8
land tenure,area owned,group_1,number,852.0
land tenure,area owned,group_1,percent,95.8
land tenure,area owned,group_2,number,579.0
land tenure,area owned,group_2,percent,97.0
land tenure,area owned,group_3,number,353.0
land tenure,area owned,group_3,percent,89.6
land tenure,area owned,group_4,number,2491.0
land tenure,area owned,group_4,percent,95.4
land tenure,area leased from governments,group_1,number,28.0
land tenure,area leased from governments,group_1,percent,3.1
land tenure,area leased from governments,group_2,number,17.0
land tenure,area leased from governments,group_2,percent,2.8
land tenure,area leased from governments,group_3,number,64.0
land tenure,area leased from governments,group_3,percent,16.2
land tenure,area leased from governments,group_4,number,119.0
land tenure,area leased from governments,group_4,percent,4.6
land tenure,area rented or leased from others,group_1,number,279.0
land tenure,area rented or leased from others,group_1,percent,31.4
land tenure,area rented or leased from others,group_2,number,132.0
land tenure,area rented or leased from others,group_2,percent,22.1
land tenure,area rented or leased from others,group_3,number,75.0
land tenure,area rented or leased from others,group_3,percent,19.0
land tenure,area rented or leased from others,group_4,number,628.0
land tenure,area rented or leased from others,group_4,percent,24.1
land tenure,area crop-shared from others,group_1,number,13.0
land tenure,area crop-shared from others,group_1,percent,1.5
land tenure,area crop-shared from others,group_2,number,8.0
land tenure,area crop-shared from others,group_2,percent,1.3
land tenure,area crop-shared from others,group_3,number,4.0
land tenure,area crop-shared from others,group_3,percent,1.0
land tenure,area crop-shared from others,group_4,number,32.0
land tenure,area crop-shared from others,group_4,percent,1.2
land tenure,land area used through other arrangements,group_1,number,119.0
land tenure,land area used through other arrangements,group_1,percent,13.4
land tenure,land area used through other arrangements,group_2,number,78.0
land tenure,land area used through other arrangements,group_2,percent,13.1
land tenure,land area used through other arrangements,group_3,number,39.0
land tenure,land area used through other arrangements,group_3,percent,9.9
land tenure,land area used through other arrangements,group_4,number,352.0
land tenure,land area used through other arrangements,group_4,percent,13.5
