jurisdiction,population,policing_type,metric_type,time_period,value
newfoundland and labrador,525355,municipal policing,number,2017 to 2018,387.0
newfoundland and labrador,525355,contract policing,number,2017 to 2018,439.0
newfoundland and labrador,525355,contract policing,rate,2017 to 2018,74.0
newfoundland and labrador,525355,federal and other policing,rate,2017 to 2018,171.0
newfoundland and labrador,525355,overall,percent,2017 to 2018,-0.6
newfoundland and labrador,525355,overall,percent,2008 to 2018,-0.9
prince edward island,153244,provincial policing,number,2017 to 2018,96.0
prince edward island,153244,contract policing,number,2017 to 2018,98.0
prince edward island,153244,contract policing,rate,2017 to 2018,22.0
prince edward island,153244,federal and other policing,rate,2017 to 2018,141.0
prince edward island,153244,overall,percent,2017 to 2018,-4.4
prince edward island,153244,overall,percent,2008 to 2018,-15.3
nova scotia,959942,provincial policing,number,2017 to 2018,879.0
nova scotia,959942,contract policing,number,2017 to 2018,856.0
nova scotia,959942,contract policing,rate,2017 to 2018,125.0
nova scotia,959942,federal and other policing,rate,2017 to 2018,194.0
nova scotia,959942,overall,percent,2017 to 2018,0.6
nova scotia,959942,overall,percent,2008 to 2018,-2.7
new brunswick,770633,provincial policing,number,2017 to 2018,423.0
new brunswick,770633,contract policing,number,2017 to 2018,689.0
new brunswick,770633,contract policing,rate,2017 to 2018,117.0
new brunswick,770633,federal and other policing,rate,2017 to 2018,160.0
new brunswick,770633,overall,percent,2017 to 2018,-0.9
new brunswick,770633,overall,percent,2008 to 2018,-12.1
quebec,8390499,contract policing,rate,2017 to 2018,912.0
quebec,8390499,federal and other policing,rate,2017 to 2018,189.0
quebec,8390499,overall,percent,2017 to 2018,-1.1
quebec,8390499,overall,percent,2008 to 2018,-4.6
ontario,14322757,federal and other policing,rate,2017 to 2018,177.0
ontario,14322757,overall,percent,2017 to 2018,-4.2
ontario,14322757,overall,percent,2008 to 2018,-8.7
manitoba,1352154,contract policing,number,2017 to 2018,867.0
manitoba,1352154,contract policing,rate,2017 to 2018,128.0
manitoba,1352154,federal and other policing,rate,2017 to 2018,189.0
manitoba,1352154,overall,percent,2017 to 2018,-2.0
manitoba,1352154,overall,percent,2008 to 2018,-6.5
saskatchewan,1162062,federal and other policing,rate,2017 to 2018,186.0
saskatchewan,1162062,overall,percent,2017 to 2018,-8.3
saskatchewan,1162062,overall,percent,2008 to 2018,-10.7
alberta,4307110,contract policing,rate,2017 to 2018,425.0
alberta,4307110,federal and other policing,rate,2017 to 2018,174.0
alberta,4307110,overall,percent,2017 to 2018,-1.1
alberta,4307110,overall,percent,2008 to 2018,9.3
british columbia,4991687,contract policing,rate,2017 to 2018,819.0
british columbia,4991687,federal and other policing,rate,2017 to 2018,185.0
british columbia,4991687,overall,percent,2017 to 2018,1.7
british columbia,4991687,overall,percent,2008 to 2018,-1.0
yukon,40476,contract policing,number,2017 to 2018,118.0
yukon,40476,contract policing,rate,2017 to 2018,14.0
yukon,40476,federal and other policing,rate,2017 to 2018,326.0
yukon,40476,overall,percent,2017 to 2018,1.0
yukon,40476,overall,percent,2008 to 2018,-7.8
northwest territories,44541,contract policing,number,2017 to 2018,168.0
northwest territories,44541,contract policing,rate,2017 to 2018,18.0
northwest territories,44541,federal and other policing,rate,2017 to 2018,416.0
northwest territories,44541,overall,percent,2017 to 2018,2.3
northwest territories,44541,overall,percent,2008 to 2018,1.4
nunavut,38396,contract policing,number,2017 to 2018,122.0
nunavut,38396,contract policing,rate,2017 to 2018,14.0
nunavut,38396,federal and other policing,rate,2017 to 2018,354.0
nunavut,38396,overall,percent,2017 to 2018,-0.7
nunavut,38396,overall,percent,2008 to 2018,-5.1
