year,personnel_category,metric_type,value
1962,officers,number,26129.0
1962,officers,rate,140.6
1962,civilian_staff,number,5699.0
1962,civilian_staff,rate,30.7
1963,officers,number,27333.0
1963,officers,rate,144.4
1963,officers,percent,2.7
1963,civilian_staff,number,5935.0
1963,civilian_staff,rate,31.4
1963,civilian_staff,percent,2.3
1964,officers,number,28823.0
1964,officers,rate,149.4
1964,officers,percent,3.5
1964,civilian_staff,number,6655.0
1964,civilian_staff,rate,34.5
1964,civilian_staff,percent,9.9
1965,officers,number,30146.0
1965,officers,rate,153.5
1965,officers,percent,2.7
1965,civilian_staff,number,7133.0
1965,civilian_staff,rate,36.3
1965,civilian_staff,percent,5.2
1966,officers,number,32086.0
1966,officers,rate,160.3
1966,officers,percent,4.4
1966,civilian_staff,number,7583.0
1966,civilian_staff,rate,37.9
1966,civilian_staff,percent,4.4
1967,officers,number,33792.0
1967,officers,rate,165.8
1967,officers,percent,3.4
1967,civilian_staff,number,8018.0
1967,civilian_staff,rate,39.3
1967,civilian_staff,percent,3.7
1968,officers,number,34887.0
1968,officers,rate,168.5
1968,officers,percent,1.6
1968,civilian_staff,number,8351.0
1968,civilian_staff,rate,40.3
1968,civilian_staff,percent,2.5
1969,officers,number,36342.0
1969,officers,rate,173.0
1969,officers,percent,2.7
1969,civilian_staff,number,8963.0
1969,civilian_staff,rate,42.7
1969,civilian_staff,percent,6.0
1970,officers,number,37949.0
1970,officers,rate,178.2
1970,officers,percent,3.0
1970,civilian_staff,number,9936.0
1970,civilian_staff,rate,46.7
1970,civilian_staff,percent,9.4
1971,officers,number,40148.0
1971,officers,rate,182.8
1971,officers,percent,2.6
1971,civilian_staff,number,10597.0
1971,civilian_staff,rate,48.3
1971,civilian_staff,percent,3.4
1972,officers,number,41214.0
1972,officers,rate,185.5
1972,officers,percent,1.5
1972,civilian_staff,number,11762.0
1972,civilian_staff,rate,52.9
1972,civilian_staff,percent,9.5
1973,officers,number,43142.0
1973,officers,rate,191.8
1973,officers,percent,3.4
1973,civilian_staff,number,12297.0
1973,civilian_staff,rate,54.7
1973,civilian_staff,percent,3.4
1974,officers,number,45276.0
1974,officers,rate,198.5
1974,officers,percent,3.5
1974,civilian_staff,number,12085.0
1974,civilian_staff,rate,53.0
1974,civilian_staff,percent,-3.1
1975,officers,number,47713.0
1975,officers,rate,206.2
1975,officers,percent,3.9
1975,civilian_staff,number,13794.0
1975,civilian_staff,rate,59.6
1975,civilian_staff,percent,12.5
1976,officers,number,48213.0
1976,officers,rate,205.6
1976,officers,percent,-0.3
1976,civilian_staff,number,14377.0
1976,civilian_staff,rate,61.3
1976,civilian_staff,percent,2.9
1977,officers,number,48764.0
1977,officers,rate,205.5
1977,officers,percent,0.0
1977,civilian_staff,number,15231.0
1977,civilian_staff,rate,64.2
1977,civilian_staff,percent,4.7
1978,officers,number,48705.0
1978,officers,rate,203.2
1978,officers,percent,-1.1
1978,civilian_staff,number,15749.0
1978,civilian_staff,rate,65.7
1978,civilian_staff,percent,2.3
1979,officers,number,48990.0
1979,officers,rate,202.4
1979,officers,percent,-0.4
1979,civilian_staff,number,15001.0
1979,civilian_staff,rate,62.0
1979,civilian_staff,percent,-5.6
1980,officers,number,49841.0
1980,officers,rate,203.3
1980,officers,percent,0.4
1980,civilian_staff,number,16410.0
1980,civilian_staff,rate,66.9
1980,civilian_staff,percent,7.9
1981,officers,number,50563.0
1981,officers,rate,203.7
1981,officers,percent,0.2
1981,civilian_staff,number,16999.0
1981,civilian_staff,rate,68.5
1981,civilian_staff,percent,2.4
1982,officers,number,50539.0
1982,officers,rate,201.2
1982,officers,percent,-1.2
1982,civilian_staff,number,17738.0
1982,civilian_staff,rate,70.6
1982,civilian_staff,percent,3.1
1983,officers,number,50081.0
1983,officers,rate,197.4
1983,officers,percent,-1.9
1983,civilian_staff,number,17342.0
1983,civilian_staff,rate,68.4
1983,civilian_staff,percent,-3.1
1984,officers,number,50010.0
1984,officers,rate,195.3
1984,officers,percent,-1.1
1984,civilian_staff,number,17503.0
1984,civilian_staff,rate,68.4
1984,civilian_staff,percent,0.0
1985,officers,number,50351.0
1985,officers,rate,194.8
1985,officers,percent,-0.3
1985,civilian_staff,number,17702.0
1985,civilian_staff,rate,68.5
1985,civilian_staff,percent,0.1
1986,officers,number,51425.0
1986,officers,rate,197.0
1986,officers,percent,1.1
1986,civilian_staff,number,18273.0
1986,civilian_staff,rate,70.0
1986,civilian_staff,percent,2.2
1987,officers,number,52510.0
1987,officers,rate,198.5
1987,officers,percent,0.8
1987,civilian_staff,number,19558.0
1987,civilian_staff,rate,73.9
1987,civilian_staff,percent,5.6
1988,officers,number,53312.0
1988,officers,rate,199.0
1988,officers,percent,0.2
1988,civilian_staff,number,19407.0
1988,civilian_staff,rate,72.4
1988,civilian_staff,percent,-2.1
1989,officers,number,54211.0
1989,officers,rate,198.7
1989,officers,percent,-0.1
1989,civilian_staff,number,19526.0
1989,civilian_staff,rate,71.6
1989,civilian_staff,percent,-1.2
1990,officers,number,56034.0
1990,officers,rate,202.3
1990,officers,percent,1.8
1990,civilian_staff,number,19259.0
1990,civilian_staff,rate,69.5
1990,civilian_staff,percent,-2.8
