year,host_country,host_city,placement,country,score
1978,Austria,Voecklamarkt,Gold,Germany,Austria
1978,Austria,Voecklamarkt,Silver,Denmark,
1978,Austria,Voecklamarkt,Bronze,Italy,
1982,United States,Indianapolis,Gold,United States,Netherlands
1982,United States,Indianapolis,Silver,Egypt,
1982,United States,Indianapolis,Bronze,Canada,
1986,Netherlands,Roermond,Gold,Yugoslavia,Israel
1986,Netherlands,Roermond,Silver,Egypt,
1986,Netherlands,Roermond,Bronze,United States,
1990,Canada,Calgary,Gold,Germany,Italy
1990,Canada,Calgary,Silver,Yugoslavia,
1990,Canada,Calgary,Bronze,Israel,
1994,United States,Colorado Springs,Gold,Finland,Italy
1994,United States,Colorado Springs,Silver,Slovenia,
1994,United States,Colorado Springs,Bronze,Spain,
1998,Spain,Madrid,Gold,Slovenia,Spain
1998,Spain,Madrid,Silver,Lithuania,
1998,Spain,Madrid,Bronze,Denmark,
2002,Brazil,Rio de Janeiro,Gold,Sweden,Lithuania
2002,Brazil,Rio de Janeiro,Silver,Slovenia,
2002,Brazil,Rio de Janeiro,Bronze,Denmark,
2006,United States,Spartanburg,Gold,Lithuania,Sweden
2006,United States,Spartanburg,Silver,United States,
2006,United States,Spartanburg,Bronze,Slovenia,
2010,United Kingdom,Sheffield,Gold,Lithuania,China
2010,United Kingdom,Sheffield,Silver,Iran,
2010,United Kingdom,Sheffield,Bronze,United States,
2014,Finland,Espoo,Gold,Brazil,9–1
2014,Finland,Espoo,Silver,Finland,
2014,Finland,Espoo,Bronze,United States,4–2
2014,Finland,Espoo,Fourth place,Lithuania,
2018,Sweden,Malmö,Gold,Brazil,8–3
2018,Sweden,Malmö,Silver,Germany,
2018,Sweden,Malmö,Bronze,Belgium,9–2
2018,Sweden,Malmö,Fourth place,Lithuania,
