style,series,version,metric,value
Underwear,Spring and Summer Home,v1,Order SKU,7.0
Underwear,Spring and Summer Home,v1,Order Quantity,542.0
Underwear,Spring and Summer Home,v1,Picked SKU,7.0
Underwear,Spring and Summer Home,v1,Picked-up Quantity,324.0
Underwear,Spring and Summer Home,v1,Unclaimed Quantity,218.0
Underwear,Spring and Summer Home,v1,Warehouse Quantity,167.0
Underwear,Spring and Summer Home,v1,Store Quantity,352.0
Underwear,Spring and Summer Home,v1,Shipping Quantity,432.0
Underwear,Spring and Summer Home,v1,Sales Quantity,72.0
Underwear,Spring and Summer Home,v2,Order SKU,2.0
Underwear,Spring and Summer Home,v2,Order Quantity,52.0
Underwear,Spring and Summer Home,v2,Picked SKU,2.0
Underwear,Spring and Summer Home,v2,Picked-up Quantity,52.0
Underwear,Spring and Summer Home,v2,Warehouse Quantity,9.0
Underwear,Spring and Summer Home,v2,Store Quantity,36.0
Underwear,Spring and Summer Home,v2,Shipping Quantity,51.0
Underwear,Spring and Summer Home,v2,Sales Quantity,7.0
Underwear,Combed Cotton Lycra,v1,Order SKU,4.0
Underwear,Combed Cotton Lycra,v1,Order Quantity,192.0
Underwear,Combed Cotton Lycra,v1,Picked SKU,2.0
Underwear,Combed Cotton Lycra,v1,Picked-up Quantity,96.0
Underwear,Combed Cotton Lycra,v1,Unpicked SKU,2.0
Underwear,Combed Cotton Lycra,v1,Unclaimed Quantity,96.0
Underwear,Combed Cotton Lycra,v1,Warehouse Quantity,48.0
Underwear,Combed Cotton Lycra,v1,Store Quantity,46.0
Underwear,Combed Cotton Lycra,v1,Shipping Quantity,47.0
Underwear,Combed Cotton Lycra,v1,Sales Quantity,1.0
Underwear,Combed Cotton Lycra,v2,Order SKU,4.0
Underwear,Combed Cotton Lycra,v2,Order Quantity,192.0
Underwear,Combed Cotton Lycra,v2,Picked SKU,2.0
Underwear,Combed Cotton Lycra,v2,Picked-up Quantity,96.0
Underwear,Combed Cotton Lycra,v2,Unpicked SKU,2.0
Underwear,Combed Cotton Lycra,v2,Unclaimed Quantity,96.0
Underwear,Combed Cotton Lycra,v2,Warehouse Quantity,48.0
Underwear,Combed Cotton Lycra,v2,Store Quantity,46.0
Underwear,Combed Cotton Lycra,v2,Shipping Quantity,47.0
Underwear,Combed Cotton Lycra,v2,Sales Quantity,1.0
Underwear,High-count mercerized cotton brocade,v1,Order SKU,6.0
Underwear,High-count mercerized cotton brocade,v1,Order Quantity,163.0
Underwear,High-count mercerized cotton brocade,v1,Picked SKU,6.0
Underwear,High-count mercerized cotton brocade,v1,Picked-up Quantity,74.0
Underwear,High-count mercerized cotton brocade,v1,Unclaimed Quantity,89.0
Underwear,High-count mercerized cotton brocade,v1,Warehouse Quantity,173.0
Underwear,High-count mercerized cotton brocade,v1,Store Quantity,129.0
Underwear,High-count mercerized cotton brocade,v1,Shipping Quantity,137.0
Underwear,High-count mercerized cotton brocade,v1,Sales Quantity,8.0
Underwear,Cotton Modal,v1,Order SKU,6.0
Underwear,Cotton Modal,v1,Order Quantity,2230.0
Underwear,Cotton Modal,v1,Picked SKU,6.0
Underwear,Cotton Modal,v1,Picked-up Quantity,2122.0
Underwear,Cotton Modal,v1,Unclaimed Quantity,108.0
Underwear,Cotton Modal,v1,Warehouse Quantity,242.0
Underwear,Cotton Modal,v1,Store Quantity,1595.0
Underwear,Cotton Modal,v1,Shipping Quantity,1884.0
Underwear,Cotton Modal,v1,Sales Quantity,264.0
Underwear,Cotton Modal,v2,Order SKU,6.0
Underwear,Cotton Modal,v2,Order Quantity,2230.0
Underwear,Cotton Modal,v2,Picked SKU,6.0
Underwear,Cotton Modal,v2,Picked-up Quantity,2122.0
Underwear,Cotton Modal,v2,Unclaimed Quantity,108.0
Underwear,Cotton Modal,v2,Warehouse Quantity,242.0
Underwear,Cotton Modal,v2,Store Quantity,1595.0
Underwear,Cotton Modal,v2,Shipping Quantity,1884.0
Underwear,Cotton Modal,v2,Sales Quantity,264.0
Underwear,Special Offer Items,v1,Order SKU,4.0
