country,period,value
Australia,1,160
Australia,2,230
Australia,3,290
Australia,4,230
Australia,5,200
Australia,6,200
Australia,7,200
Australia,8,?
Australia,9,?
Australia,10,?
Australia,11,?
Australia,12,?
Brazil,1,30000
Brazil,2,22000
Brazil,3,26000
Brazil,4,29000
Brazil,5,29900
Brazil,6,35000
Brazil,7,40000
Brazil,8,57300
Brazil,9,58000
Brazil,10,58000
Brazil,11,58000
Brazil,12,58000
Canada,1,2290
Canada,2,3200
Canada,3,3410
Canada,4,3280
Canada,5,3400
Canada,6,3310
Canada,7,4167
Canada,8,3020
Canada,9,4380
Canada,10,4330
Canada,11,4420
Canada,12,4400
Congo D.R.,1,?
Congo D.R.,2,50
Congo D.R.,3,50
Congo D.R.,4,13
Congo D.R.,5,52
Congo D.R.,6,25
Congo D.R.,7,?
Congo D.R.,8,?
Congo D.R.,9,?
Congo D.R.,10,?
Congo D.R.,11,?
Congo D.R.,12,?
Mozambique,1,?
Mozambique,2,?
Mozambique,3,5
Mozambique,4,34
Mozambique,5,130
Mozambique,6,34
Mozambique,7,29
Mozambique,8,?
Mozambique,9,?
Mozambique,10,?
Mozambique,11,?
Mozambique,12,?
Nigeria,1,35
Nigeria,2,30
Nigeria,3,30
Nigeria,4,190
Nigeria,5,170
Nigeria,6,40
Nigeria,7,35
Nigeria,8,?
Nigeria,9,?
Nigeria,10,?
Nigeria,11,?
Nigeria,12,?
Rwanda,1,28
Rwanda,2,120
Rwanda,3,76
Rwanda,4,22
Rwanda,5,63
Rwanda,6,63
Rwanda,7,80
Rwanda,8,?
Rwanda,9,?
Rwanda,10,?
Rwanda,11,?
Rwanda,12,?
