year,metric_type,metric_subtype,value
1982,Sex Ratio,,102.87
1982,Age Composition,0-14 Years Old,31.0
1982,Age Composition,15-64 Aged,63.4
1982,Age Composition,65 and Over,5.6
1982,Dependency Ratio,Children Dependency Ratio,48.8958990536278
1982,Dependency Ratio,Old Dependency Ratio,8.83280757097792
1990,Sex Ratio,,103.46
1990,Age Composition,0-14 Years Old,26.6
1990,Age Composition,15-64 Aged,67.2
1990,Age Composition,65 and Over,6.2
1990,Dependency Ratio,Children Dependency Ratio,39.5833333333333
1990,Dependency Ratio,Old Dependency Ratio,9.22619047619048
1995,Sex Ratio,,103.7
1995,Age Composition,0-14 Years Old,24.6
1995,Age Composition,15-64 Aged,68.0
1995,Age Composition,65 and Over,7.4
1995,Dependency Ratio,Children Dependency Ratio,36.1764705882353
1995,Dependency Ratio,Old Dependency Ratio,10.8823529411765
2000,Sex Ratio,,102.5
2000,Age Composition,0-14 Years Old,20.8
2000,Age Composition,15-64 Aged,71.1
2000,Age Composition,65 and Over,8.1
2000,Dependency Ratio,Children Dependency Ratio,29.2545710267229
2000,Dependency Ratio,Old Dependency Ratio,11.3924050632911
2001,Sex Ratio,,102.65
2001,Age Composition,0-14 Years Old,20.42
2001,Age Composition,15-64 Aged,71.39
2001,Age Composition,65 and Over,8.19
2001,Dependency Ratio,Children Dependency Ratio,28.6034458607648
2001,Dependency Ratio,Old Dependency Ratio,11.4721949852921
2002,Sex Ratio,,102.36
2002,Age Composition,0-14 Years Old,18.84
2002,Age Composition,15-64 Aged,72.65
2002,Age Composition,65 and Over,8.51
2002,Dependency Ratio,Children Dependency Ratio,25.9325533379215
2002,Dependency Ratio,Old Dependency Ratio,11.7136958017894
2003,Sex Ratio,,100.42
2003,Age Composition,0-14 Years Old,18.35
2003,Age Composition,15-64 Aged,72.59
2003,Age Composition,65 and Over,9.06
2003,Dependency Ratio,Children Dependency Ratio,25.2789640446343
2003,Dependency Ratio,Old Dependency Ratio,12.4810579969693
2004,Sex Ratio,,100.66
2004,Age Composition,0-14 Years Old,17.12
2004,Age Composition,15-64 Aged,73.66
2004,Age Composition,65 and Over,9.22
2004,Dependency Ratio,Children Dependency Ratio,23.2419223459137
