year,sector,value
1952,Primary Industry,100.0
1955,Primary Industry,115.600676818951
1957,Primary Industry,101.55668358714
1962,Primary Industry,69.647433709646
1965,Primary Industry,107.085843795558
1970,Primary Industry,129.069251853122
1975,Primary Industry,154.374041035124
1978,Primary Industry,174.316389540862
1979,Primary Industry,188.673891996666
1980,Primary Industry,207.207673135828
1981,Primary Industry,220.579219628006
1982,Primary Industry,244.329958857719
1983,Primary Industry,283.316053489646
1984,Primary Industry,335.05812469851
1985,Primary Industry,342.256872873967
1986,Primary Industry,340.016882349062
1987,Primary Industry,364.998761409258
1988,Primary Industry,364.075406536396
1989,Primary Industry,361.698622696994
1990,Primary Industry,381.037777534147
1991,Primary Industry,434.95593561923
1992,Primary Industry,435.609977749541
1993,Primary Industry,462.183799098885
1994,Primary Industry,495.925205437939
1995,Primary Industry,540.265678080524
1996,Primary Industry,575.924413404324
1997,Primary Industry,578.648095700413
1998,Primary Industry,611.341242734722
1999,Primary Industry,640.074299062216
2000,Primary Industry,655.126227540604
2001,Primary Industry,679.865323004333
2002,Primary Industry,696.518941587844
2003,Primary Industry,734.433682181079
2004,Primary Industry,784.67083524911
2005,Primary Industry,821.877204899038
2006,Primary Industry,862.443472022658
2007,Primary Industry,895.798454571667
2008,Primary Industry,938.162247773454
2009,Primary Industry,976.096250357095
2010,Primary Industry,1006.30919709893
2011,Primary Industry,1043.98185900112
2012,Primary Industry,1091.39244940806
2013,Primary Industry,1129.45099630019
2014,Primary Industry,1172.16551744381
2015,Primary Industry,1220.92142942321
2016,Primary Industry,1267.84180688646
2017,Primary Industry,1312.88309877269
2018,Primary Industry,1347.75767923376
2019,Primary Industry,1362.05704811274
2020,Primary Industry,1398.29398369509
2021,Primary Industry,1502.53098932296
2022,Primary Industry,1564.64382663483
2023,Primary Industry,1634.52549966586
1952,Second Industry,100.0
1955,Second Industry,155.23178807947
1957,Second Industry,261.854304635761
1962,Second Industry,214.761353412292
1965,Second Industry,404.736943022758
1970,Second Industry,752.758226522515
1975,Second Industry,1364.71047960975
1978,Second Industry,1945.1791498727
1979,Second Industry,2067.79109303263
1980,Second Industry,2315.54632269515
1981,Second Industry,2388.57868485682
1982,Second Industry,2522.34158271796
1983,Second Industry,2712.7863138986
1984,Second Industry,3191.46751066827
1985,Second Industry,3780.24226830851
1986,Second Industry,4184.80106766036
1987,Second Industry,4898.30700246797
1988,Second Industry,6007.65145457827
1989,Second Industry,6431.05229192919
1990,Second Industry,6890.73573137748
1991,Second Industry,7852.00192542102
1992,Second Industry,10095.2453070123
1993,Second Industry,12928.1008488183
1994,Second Industry,15178.5703380762
1995,Second Industry,17316.1942858533
1996,Second Industry,19711.945255362
1997,Second Industry,22218.1205995146
1998,Second Industry,24899.0172600773
1999,Second Industry,27902.2011761187
2000,Second Industry,30913.3976728508
2001,Second Industry,34004.4918503711
2002,Second Industry,38736.4956465819
2003,Second Industry,43967.8174161834
2004,Second Industry,50992.1821501866
2005,Second Industry,58393.4925638765
2006,Second Industry,66431.0824240735
2007,Second Industry,75124.9867323188
2008,Second Industry,82158.2576333711
2009,Second Industry,91377.0417764397
2010,Second Industry,102047.616991517
2011,Second Industry,113741.232491772
2012,Second Industry,125476.108811571
2013,Second Industry,137729.076007729
2014,Second Industry,149816.597100418
2015,Second Industry,160408.140138922
2016,Second Industry,170359.499765491
2017,Second Industry,180536.830897296
2018,Second Industry,188000.606082654
2019,Second Industry,192953.848082439
2020,Second Industry,199064.200143038
2021,Second Industry,211563.706918544
2022,Second Industry,219810.306271371
2023,Second Industry,234019.965717603
1952,Tertiary Industry,100.0
1955,Tertiary Industry,147.0
1957,Tertiary Industry,154.571428571429
1962,Tertiary Industry,184.442194092827
1965,Tertiary Industry,197.877516576251
1970,Tertiary Industry,261.010488245931
1975,Tertiary Industry,310.657238457745
1978,Tertiary Industry,379.651619266809
1979,Tertiary Industry,395.227070313653
1980,Tertiary Industry,470.062245265284
1981,Tertiary Industry,524.902840546233
1982,Tertiary Industry,667.632468658393
1983,Tertiary Industry,825.850737802283
1984,Tertiary Industry,951.831021542921
1985,Tertiary Industry,1094.02034822374
1986,Tertiary Industry,1189.29350061659
1987,Tertiary Industry,1391.90653736887
1988,Tertiary Industry,1526.08139281815
1989,Tertiary Industry,1568.04480398551
1990,Tertiary Industry,1578.22048094241
1991,Tertiary Industry,1830.74557967783
1992,Tertiary Industry,2129.08228821302
1993,Tertiary Industry,2553.84565702593
1994,Tertiary Industry,3081.25115846435
1995,Tertiary Industry,3604.25468592882
1996,Tertiary Industry,4053.9321744421
1997,Tertiary Industry,4639.67083495742
1998,Tertiary Industry,5159.37238800735
1999,Tertiary Industry,5639.34666430939
2000,Tertiary Industry,6235.74583651873
2001,Tertiary Industry,6920.01539557302
2002,Tertiary Industry,7636.06594414884
2003,Tertiary Industry,8314.10206364809
2004,Tertiary Industry,9086.70993142182
2005,Tertiary Industry,10205.3013153424
2006,Tertiary Industry,11485.206696555
2007,Tertiary Industry,12936.9436131675
2008,Tertiary Industry,14473.4548702866
2009,Tertiary Industry,15793.2405448006
2010,Tertiary Industry,17417.0717656053
2011,Tertiary Industry,19420.6935019917
2012,Tertiary Industry,21387.0754300566
2013,Tertiary Industry,23587.1142913047
2014,Tertiary Industry,25748.1108009154
2015,Tertiary Industry,28212.8070445438
2016,Tertiary Industry,30833.1144407544
2017,Tertiary Industry,33693.4558818636
2018,Tertiary Industry,36697.3917385444
2019,Tertiary Industry,39713.3412227858
2020,Tertiary Industry,41224.3807561817
2021,Tertiary Industry,45265.642319746
2022,Tertiary Industry,47046.0976814995
2023,Tertiary Industry,49783.0045635674
1952,# Industry,100.0
1955,# Industry,157.0739464224
1957,# Industry,264.451133423362
1962,# Industry,213.012832153369
1965,# Industry,385.507698750265
1970,# Industry,747.327316751325
1975,# Industry,1372.44567434526
1978,# Industry,1904.58390293816
1979,# Industry,2001.71768198801
1980,# Industry,2230.11366950284
1981,# Industry,2326.67759139231
1982,# Industry,2440.21945785226
1983,# Industry,2644.22180452871
1984,# Industry,3085.01357934364
1985,# Industry,3612.55090141141
1986,# Industry,4029.07802034414
1987,# Industry,4786.54468816884
1988,# Industry,5850.59357234877
1989,# Industry,6348.47908535565
1990,# Industry,6856.35741218411
1991,# Industry,7881.46278084079
1992,# Industry,10201.7048052368
1993,# Industry,13124.3693418549
1994,# Industry,15432.7960403632
1995,# Industry,17555.3146122936
1996,# Industry,19964.9777230593
1997,# Industry,22500.5058717214
1998,# Industry,25218.7357482123
1999,# Industry,28300.5743942076
2000,# Industry,31374.3054144375
2001,# Industry,34524.2508028778
2002,# Industry,39113.0569242631
2003,# Industry,44593.0692206198
2004,# Industry,52513.3900133945
2005,# Industry,60374.8632915523
2006,# Industry,68961.8747394414
2007,# Industry,78460.6903007922
2008,# Industry,86163.7255226575
2009,# Industry,94658.2073282943
2010,# Industry,105682.880387068
2011,# Industry,118589.161759209
2012,# Industry,131379.704612057
2013,# Industry,144601.257163526
2014,# Industry,157319.429240126
2015,# Industry,168214.993251384
2016,# Industry,178426.627110349
2017,# Industry,189478.424454617
2018,# Industry,197929.808250497
2019,# Industry,201839.960466582
2020,# Industry,208778.948654617
2021,# Industry,224336.1130728
2022,# Industry,233702.849070183
2023,# Industry,248310.621546447
1952,# Construction,100.0
1955,# Construction,127.312854971067
1957,# Construction,222.49792167701
1962,# Construction,238.392288303826
1965,# Construction,678.973466738073
1970,# Construction,825.527197057764
1975,# Construction,1222.22869330108
1978,# Construction,2547.79187969428
1979,# Construction,3066.11511081436
1980,# Construction,3612.08247482268
1981,# Construction,3369.6124700491
1982,# Construction,3785.99673461693
1983,# Construction,3803.35220611136
1984,# Construction,4824.9495816014
1985,# Construction,6280.36974390205
1986,# Construction,6545.97207648492
1987,# Construction,6703.85352785171
1988,# Construction,8493.68094528476
1989,# Construction,7929.67323393963
1990,# Construction,7761.33281713464
1991,# Construction,8192.19966184786
1992,# Construction,9881.28936692043
1993,# Construction,12085.3850868998
1994,# Construction,13962.6122144047
1995,# Construction,16412.4924095449
1996,# Construction,18865.2766451994
1997,# Construction,21290.5674543083
1998,# Construction,23828.5830921283
1999,# Construction,26321.8901251782
2000,# Construction,28976.9412294233
2001,# Construction,31789.2914729124
2002,# Construction,37653.8586679261
2003,# Construction,41416.4055326188
2004,# Construction,42711.3381231005
2005,# Construction,47310.5215249992
2006,# Construction,52054.0683002415
2007,# Construction,55838.7140281592
2008,# Construction,58781.5651728865
2009,# Construction,72879.4195079005
2010,# Construction,81575.6769365752
2011,# Construction,86765.0666420533
2012,# Construction,92815.1861602893
2013,# Construction,101726.187210594
2014,# Construction,111049.509640692
2015,# Construction,120084.135645423
2016,# Construction,127264.373950653
2017,# Construction,132822.514529416
2018,# Construction,138455.740825994
2019,# Construction,147443.837489965
2020,# Construction,149686.084998086
2021,# Construction,151738.804445895
2022,# Construction,156134.736756648
2023,# Construction,168605.442548147
