geography,cohort_variant,number_1,number_2,percent
canada,linked cctlp tumour cohort,1210.0,695.0,57.4
canada,linked cctlp tumour cohort,30550.0,13520.0,44.2
canada,linked cctlp tumour cohort,20385.0,2255.0,11.1
newfoundland and labrador,linked cctlp tumour cohort,25.0,20.0,83.3
newfoundland and labrador,linked cctlp tumour cohort,865.0,415.0,48.2
newfoundland and labrador,linked cctlp tumour cohort,455.0,35.0,7.7
prince edward island,linked cctlp tumour cohort,,,
prince edward island,linked cctlp tumour cohort,260.0,60.0,23.1
prince edward island,linked cctlp tumour cohort,,,
nova scotia,linked cctlp tumour cohort,55.0,35.0,65.5
nova scotia,linked cctlp tumour cohort,1335.0,625.0,46.7
nova scotia,linked cctlp tumour cohort,785.0,115.0,14.8
new brunswick,linked cctlp tumour cohort,45.0,25.0,52.3
new brunswick,linked cctlp tumour cohort,1260.0,415.0,33.1
new brunswick,linked cctlp tumour cohort,635.0,45.0,7.2
ontario,linked cctlp tumour cohort,625.0,350.0,55.6
ontario,linked cctlp tumour cohort,15145.0,6755.0,44.6
ontario,linked cctlp tumour cohort,10040.0,980.0,9.7
manitoba,linked cctlp tumour cohort,35.0,15.0,41.2
manitoba,linked cctlp tumour cohort,1110.0,480.0,43.3
manitoba,linked cctlp tumour cohort,840.0,75.0,8.7
saskatchewan,linked cctlp tumour cohort,40.0,20.0,51.2
saskatchewan,linked cctlp tumour cohort,1150.0,410.0,35.5
saskatchewan,linked cctlp tumour cohort,860.0,85.0,9.8
alberta,linked cctlp tumour cohort,245.0,145.0,59.1
alberta,linked cctlp tumour cohort,4175.0,1850.0,44.3
alberta,linked cctlp tumour cohort,2340.0,330.0,14.2
british columbia,linked cctlp tumour cohort,130.0,80.0,63.3
british columbia,linked cctlp tumour cohort,5190.0,2480.0,47.8
british columbia,linked cctlp tumour cohort,4270.0,580.0,13.5
yukon,linked cctlp tumour cohort,,,
yukon,linked cctlp tumour cohort,35.0,20.0,55.9
yukon,linked cctlp tumour cohort,,,
northwest territories,linked cctlp tumour cohort,,,
northwest territories,linked cctlp tumour cohort,20.0,5.0,31.6
northwest territories,linked cctlp tumour cohort,,,
nunavut,linked cctlp tumour cohort,0.0,0.0,0.0
nunavut,linked cctlp tumour cohort,,,
nunavut,linked cctlp tumour cohort,,,
