locomotive_number,name,operator,status,livery
D6508 / 33008,Eastleigh,Shillingstone,Undergoing Restoration,BR Green (Yellow Warning Panels)
D6515 / 33012,Lt Jenny Lewis RN,Swanage Railway,Operational and Mainline Certified,BR Green (Yellow Warning Panels)
D6530 / 33018,Lt Jenny Lewis RN,Midland Railway - Butterley,Undergoing Restoration,BR Blue
D6534 / 33019,Griffon,Battlefield Line Railway,Operational,DCE Grey and Yellow
D6539 / 33021,Eastleigh,Churnet Valley Railway,Undergoing Minor Repairs,Post Office Red
D6543 / 33025,Glen Falloch / Sultan,Carnforth,Under Overhaul,West Coast Railways
D6547 / 33029,Glen Loy,Southall Railway Centre,"Operational, Mainline Certified",West Coast Railways
D6548 / 33030,Glen Loy,Carnforth,Stored (spares loco),Direct Rail Services dark blue
D6553 / 33035,Spitfire,Barrow Hill Engine Shed,Operational,BR Blue
D6564 / 33046,Merlin,East Lancashire Railway,Stored (spares Loco),South West Trains blue
D6566 / 33048,Merlin,West Somerset Railway,Operational,BR Green (Yellow Front)
D6570 / 33052,Ashford,Kent and East Sussex Railway,Stored,BR Green
D6571 / 33053,Ashford,Mid Hants Railway,Operational,BR Blue
D6575 / 33057,Seagull,West Somerset Railway,Operational,BR Green (Yellow Front)
D6583 / 33063,R.J. Mitchell,Spa Valley Railway,Operational,Railfreight Mainline Sector
D6585 / 33065,Sealion,Spa Valley Railway,Undergoing heavy overhaul,BR Blue
D6513 / 33102,Sophie,Churnet Valley Railway,Operational,BR Blue
D6514 / 33103,Swordfish,Ecclesbourne Valley Railway,Operational,BR Blue
D6521 / 33108,Vampire,Severn Valley Railway,Operational,BR Blue
D6525 / 33109,Captain Bill Smith RNR,East Lancashire Railway,Operational,BR Blue
D6527 / 33110,Captain Bill Smith RNR,Bodmin and Wenford Railway,Operational,Departmental grey
D6528 / 33111,Captain Bill Smith RNR,Swanage Railway,Operational,BR Blue
D6535 / 33116,Hertfordshire Rail Tours,Great Central Railway,Operational,BR Blue
D6536 / 33117,Hertfordshire Rail Tours,East Lancashire Railway,Undergoing Repairs,BR Blue
D6586 / 33201,Hertfordshire Rail Tours,Spa Valley Railway,Operational,BR Blue (Full Yellow Ends)
D6587 / 33202,Dennis G. Robinson,Mid Hants Railway,Operational,BR Blue
D6592 / 33207,Jim Martin,Southall Railway Centre,"Operational, Mainline Certified",West Coast Railways
D6593 / 33208,Jim Martin,Battlefield Line Railway,Undergoing Repairs,BR Green (Yellow Warning Panels)
