metric_type,unit_system,time_period,value
,imperial,Jan,64.0
,metric,Jan,18.0
,imperial,Feb,63.0
,metric,Feb,17.0
,imperial,Mar,63.0
,metric,Mar,17.0
,imperial,Apr,64.0
,metric,Apr,18.0
,imperial,May,65.0
,metric,May,18.0
,imperial,Jun,67.0
,metric,Jun,19.0
,imperial,Jul,70.0
,metric,Jul,21.0
,imperial,Aug,71.0
,metric,Aug,22.0
,imperial,Sep,71.0
,metric,Sep,22.0
,imperial,Oct,70.0
,metric,Oct,21.0
,imperial,Nov,67.0
,metric,Nov,19.0
,imperial,Dec,64.0
,metric,Dec,18.0
,imperial,Jan,51.0
,metric,Jan,11.0
,imperial,Feb,52.0
,metric,Feb,11.0
,imperial,Mar,53.0
,metric,Mar,12.0
,imperial,Apr,55.0
,metric,Apr,13.0
,imperial,May,57.0
,metric,May,14.0
,imperial,Jun,60.0
,metric,Jun,16.0
,imperial,Jul,63.0
,metric,Jul,17.0
,imperial,Aug,63.0
,metric,Aug,17.0
,imperial,Sep,63.0
,metric,Sep,17.0
,imperial,Oct,60.0
,metric,Oct,16.0
,imperial,Nov,55.0
,metric,Nov,13.0
,imperial,Dec,51.0
,metric,Dec,11.0
,imperial,Jan,2.84
,metric,Jan,72.1
,imperial,Feb,3.44
,metric,Feb,87.4
,imperial,Mar,1.96
,metric,Mar,49.8
,imperial,Apr,0.66
,metric,Apr,16.8
,imperial,May,0.21
,metric,May,5.3
,imperial,Jun,0.04
,metric,Jun,1.0
,imperial,Jul,0.01
,metric,Jul,0.3
,imperial,Aug,0.04
,metric,Aug,1.0
,imperial,Sep,0.13
,metric,Sep,3.3
,imperial,Oct,0.5
,metric,Oct,12.7
,imperial,Nov,1.08
,metric,Nov,27.4
,imperial,Dec,1.88
,metric,Dec,47.8
Avg.,imperial,Jan,7.0
Avg.,imperial,Feb,7.9
Avg.,imperial,Mar,5.1
Avg.,imperial,Apr,2.4
Avg.,imperial,May,1.0
Avg.,imperial,Jun,0.4
Avg.,imperial,Jul,0.1
Avg.,imperial,Aug,0.5
Avg.,imperial,Sep,1.0
Avg.,imperial,Oct,0.8
Avg.,imperial,Nov,2.5
Avg.,imperial,Dec,4.0
