title,release_year,album,chart_type,chart_position
"""Take Me with U"" (with Prince)",1985,Purple Rain,US,25
"""Since I Fell for You""",1988,Apollonia,US,—
"""Mismatch""",1989,Apollonia,US,—
"""The Same Dream""",1989,Apollonia,US,—
"""Take Me with U"" (with Prince)",1985,Purple Rain,US Dance,7
"""Since I Fell for You""",1988,Apollonia,US Dance,20
"""Mismatch""",1989,Apollonia,US Dance,10
"""The Same Dream""",1989,Apollonia,US Dance,—
"""Take Me with U"" (with Prince)",1985,Purple Rain,US R&B,40
"""Since I Fell for You""",1988,Apollonia,US R&B,—
"""Mismatch""",1989,Apollonia,US R&B,—
"""The Same Dream""",1989,Apollonia,US R&B,—
