column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_25,column_26,column_27,column_28,column_29
3,2022-07-05,7,Western medicine,Zhengzhou Linzhanshan Community Network,Cefixime Granules,50mg*12 Bags,Box,20.0,25.0,500.0,"Chengdu Better Pharmaceutical Co., Ltd.",Negotiation Table,10200607.0,2020.05.07,Cheng Yuanli,17337680138.0,nan,Cefixime Granules,50mg*12 Bags,"Chengdu Better (Note: ""倍特"" is translated as ""Better"" based on common transliteration practices for company names)",Guokong,25.0,nan,Cash return monthly return 33.7%,0.337,946.0,nan
4,2022-07-05,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Cefixime Granules,50mg*12 Bags,Box,10.0,25.0,250.0,"Chengdu Better Pharmaceutical Co., Ltd.",Negotiation Table,10200607.0,2020.05.07,Cheng Yuanli,17337680138.0,nan,Cefixime Granules,50mg*12 Bags,"Chengdu Better (Note: ""倍特"" is translated as ""Better"" based on common transliteration practices for company names)",Guokong,25.0,nan,Cash return monthly return 33.7%,0.337,946.0,nan
5,2022-07-05,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Shengxuebao Mixture,100ml*1 bottle,Box,30.0,56.05,1681.5,"Qinghua Deren Xi'an Xingfu Pharmaceutical Co., Ltd.",Negotiation Table,10100177.0,2020.11.10,You Junying,13938555051.0,nan,Shengxuebao Mixture,100ml,Xi'an,China National Pharmaceutical Group,56.05,nan,"Cash monthly return 30%, clinical 4 yuan",0.3,,nan
6,2022-07-05 10:25:49.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Atorvastatin Calcium Tablets,10mg*90 tablets*1 bottle (film-coated),Box,38.0,16.2,615.6,"Qilu Pharmaceutical (Hainan) Co., Ltd.",Negotiation Table,10100177.0,2020.03.13,You Junying,13938555051.0,nan,Atorvastatin Calcium Tablets,10mg*7 tablets,Qilu Pharmaceutical,China National Pharmaceutical Group,23.31,nan,0.36,0.36,,nan
7,2022-07-05 10:25:49.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Atorvastatin Calcium Tablets,10mg*90 tablets*1 bottle (film-coated),Box,12.0,16.2,194.4,"Qilu Pharmaceutical (Hainan) Co., Ltd.",Negotiation Table,10100177.0,2020.03.13,You Junying,13938555051.0,nan,Atorvastatin Calcium Tablets,10mg*7 tablets,Qilu Pharmaceutical,China National Pharmaceutical Group,23.31,nan,0.36,0.36,,nan
8,2022-07-05 11:07:31.0,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Xingpi Yang'er Granules,2g*18 bags,Box,50.0,25.52,1276.0,"Guizhou Jianxing Pharmaceutical Co., Ltd.",Negotiation Table,10100364.0,2020.04.04,Wang Zhiyong,15638450207.0,Shi Bo: 13283881411,Xingpi Yang'er Granules,2g/18 bags,Guizhou Jianxing,China Resources,25.52,nan,"Cash monthly return, 3.6 yuan per box",,1533.0,nan
9,2022-07-05 11:07:34.0,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Progesterone Capsules,50mg*10 tablets*2 strips,Box,20.0,26.63,532.6,"Zhejiang Xianju Pharmaceutical Co., Ltd.",Negotiation Table,10100364.0,2019.06.25,Pu Bojun,18595678999.0,nan,Progesterone Capsules,50mg*20s,Zhejiang Xianju,"State Control, CRHC",27.66,Small quantity,"Rebate supply price 34%, invoice discount, quarterly rebate",0.34,429.0,nan
10,2022-07-05 11:07:34.0,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Danhong Injection,10ml,piece,360.0,16.92,6091.2,"Shandong Danhong Pharmaceutical Co., Ltd.",Negotiation Table,10100364.0,2020.10.23,Wang Mingzhi,18538310756.0,nan,Danhong Injection,10ml*10 vials,Shandong Danhong,"China Resources, Hengyuan",38.7,"The price was reduced to 17.32 yuan in March 2021, and the rebate is still collected at 17.6%.",0.176,0.176,171.0,"Starting from January 2022, return 30%."
11,2022-07-05 12:26:39.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Iron Dextran Granules,25mg*16 bags,Box,5.0,69.28,346.4,"Shandong Dayin Ocean Bio-Pharmaceutical Co., Ltd.",Negotiation Table,10201176.0,2019.07.25,Li Lei,18537144318.0,nan,Iron Dextran Granules,25mg*16 bags,"Shandong Dayin Ocean Bio-Pharmaceutical Co., Ltd.",Guokong,82.08,nan,"20%, invoice discount quarterly return",0.2,1453.0,nan
12,2022-07-05 12:26:39.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Kangfuyan Capsules,0.4g (herb slice 3.144g) * 24 pieces * 2 strips,Box,30.0,28.0,840.0,"Shandong Buliang Shenzhou Pharmaceutical Co., Ltd.",Negotiation Table,10201176.0,2020.10.23,Ning Xuejiao,18837106320.0,Manager Liu Yajing 131 4008 5296,Kangfuyan Capsules,48s,Shandong Buliang Shenzhou Pharmaceutical,"China Resources, Hengyuan",28.59,nan,0.1,0.1,517.0,nan
13,2022-07-05 12:26:39.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Gui Zhi Fu Ling Capsules,0.31g*10 tablets*5 strips*2 bags,Box,10.0,51.8,518.0,"Jiangsu Kangyuan Pharmaceutical Co., Ltd.",Negotiation Table,10201176.0,2019.06.10,He Jiahuan,18036636012.0,nan,Gui Zhi Fu Ling Capsules,50 grains,Jiangsu Kangyuan Pharmaceutical,"State Control, CRHC",26.92,nan,"2.5 RMB per box, quarterly return, cash",,,nan
14,2022-07-05 12:26:39.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Gui Zhi Fu Ling Capsules,0.31g*10 tablets*5 strips*2 bags,Box,10.0,51.8,518.0,"Jiangsu Kangyuan Pharmaceutical Co., Ltd.",Negotiation Table,10100052.0,2019.06.10,He Jiahuan,18036636012.0,nan,Gui Zhi Fu Ling Capsules,100 grains,Jiangsu Kangyuan Pharmaceutical,"State Control, CRHC",51.8,148 boxes/month,"5 USD/box, quarterly return, cash",,399.0,nan
15,2022-07-05 12:46:56.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Yiqi Hawei Capsules,0.5g*12 tablets*3 strips,Box,48.0,45.11,2165.28,"Hefei Liff Pharmaceutical Co., Ltd.",Negotiation Table,10100052.0,2019.06.10,Liu Jia,18838085722.0,nan,Yiqi Hawei Capsules,0.5g¡Á36S,Hefei Lubei,China Resources,45.11,10 boxes/month,"Cash quarterly return, 5 yuan per box",,1244.0,nan
16,2022-07-05 12:46:56.0,7,Western medicine,Zhengzhou Linzhanshan Community Network,Compound Xueshuantong Capsules,0.5g*30 tablets,Box,18.0,20.55,369.9,"Guangdong Zhongsheng Pharmaceutical Co., Ltd.",Negotiation Table,10100052.0,2019.07.08,Li Kunlun,15225110649.0,Zhang Ji: 15938797039,Compound Xueshuantong Capsules,0.5g*10 tablets*10 strips,Guangdong Zhongsheng,Guokong,21.78,442 boxes/month,"A rebate of 12% per box based on the listed price will be returned in cash, primarily based on distribution channels.",0.12,331.0,nan
