club,season,division,competition,metric_type,value
Birmingham City,1951–52,Second Division,League,Apps,0
Birmingham City,1951–52,Second Division,League,Goals,0
Birmingham City,1951–52,Second Division,FA Cup,Apps,0
Birmingham City,1951–52,Second Division,FA Cup,Goals,0
Birmingham City,1951–52,Second Division,League Cup,Apps,0
Birmingham City,1951–52,Second Division,League Cup,Goals,0
Walsall,1954–55,Third Division South,League,Apps,32
Walsall,1954–55,Third Division South,League,Goals,22
Walsall,1954–55,Third Division South,FA Cup,Apps,3
Walsall,1954–55,Third Division South,FA Cup,Goals,4
Walsall,1954–55,Third Division South,League Cup,Apps,0
Walsall,1954–55,Third Division South,League Cup,Goals,0
Walsall,1955–56,Third Division South,League,Apps,35
Walsall,1955–56,Third Division South,League,Goals,14
Walsall,1955–56,Third Division South,FA Cup,Apps,4
Walsall,1955–56,Third Division South,FA Cup,Goals,2
Walsall,1955–56,Third Division South,League Cup,Apps,0
Walsall,1955–56,Third Division South,League Cup,Goals,0
Walsall,1956–57,Third Division South,League,Apps,36
Walsall,1956–57,Third Division South,League,Goals,17
Walsall,1956–57,Third Division South,FA Cup,Apps,0
Walsall,1956–57,Third Division South,FA Cup,Goals,0
Walsall,1956–57,Third Division South,League Cup,Apps,0
Walsall,1956–57,Third Division South,League Cup,Goals,0
Walsall,1957–58,Third Division South,League,Apps,40
Walsall,1957–58,Third Division South,League,Goals,21
Walsall,1957–58,Third Division South,FA Cup,Apps,1
Walsall,1957–58,Third Division South,FA Cup,Goals,0
Walsall,1957–58,Third Division South,League Cup,Apps,0
Walsall,1957–58,Third Division South,League Cup,Goals,0
Walsall,1958–59,Fourth Division,League,Apps,43
Walsall,1958–59,Fourth Division,League,Goals,27
Walsall,1958–59,Fourth Division,FA Cup,Apps,1
Walsall,1958–59,Fourth Division,FA Cup,Goals,0
Walsall,1958–59,Fourth Division,League Cup,Apps,0
Walsall,1958–59,Fourth Division,League Cup,Goals,0
Walsall,1959–60,Fourth Division,League,Apps,46
Walsall,1959–60,Fourth Division,League,Goals,24
Walsall,1959–60,Fourth Division,FA Cup,Apps,2
Walsall,1959–60,Fourth Division,FA Cup,Goals,2
Walsall,1959–60,Fourth Division,League Cup,Apps,0
Walsall,1959–60,Fourth Division,League Cup,Goals,0
Walsall,1960–61,Third Division,League,Apps,45
Walsall,1960–61,Third Division,League,Goals,36
Walsall,1960–61,Third Division,FA Cup,Apps,1
Walsall,1960–61,Third Division,FA Cup,Goals,0
Walsall,1960–61,Third Division,League Cup,Apps,0
Walsall,1960–61,Third Division,League Cup,Goals,0
Walsall,1961–62,Second Division,League,Apps,36
Walsall,1961–62,Second Division,League,Goals,15
Walsall,1961–62,Second Division,FA Cup,Apps,4
Walsall,1961–62,Second Division,FA Cup,Goals,4
Walsall,1961–62,Second Division,League Cup,Apps,2
Walsall,1961–62,Second Division,League Cup,Goals,1
Walsall,1962–63,Second Division,League,Apps,21
Walsall,1962–63,Second Division,League,Goals,8
Walsall,1962–63,Second Division,FA Cup,Apps,1
Walsall,1962–63,Second Division,FA Cup,Goals,0
Walsall,1962–63,Second Division,League Cup,Apps,1
Walsall,1962–63,Second Division,League Cup,Goals,0
Walsall,Total,Total,League,Apps,334
Walsall,Total,Total,League,Goals,184
Walsall,Total,Total,FA Cup,Apps,17
Walsall,Total,Total,FA Cup,Goals,12
Walsall,Total,Total,League Cup,Apps,3
Walsall,Total,Total,League Cup,Goals,1
Port Vale,1962–63,Third Division,League,Apps,14
Port Vale,1962–63,Third Division,League,Goals,13
Port Vale,1962–63,Third Division,FA Cup,Apps,0
Port Vale,1962–63,Third Division,FA Cup,Goals,0
Port Vale,1962–63,Third Division,League Cup,Apps,0
Port Vale,1962–63,Third Division,League Cup,Goals,0
Port Vale,1963–64,Third Division,League,Apps,30
Port Vale,1963–64,Third Division,League,Goals,12
Port Vale,1963–64,Third Division,FA Cup,Apps,4
Port Vale,1963–64,Third Division,FA Cup,Goals,1
Port Vale,1963–64,Third Division,League Cup,Apps,0
Port Vale,1963–64,Third Division,League Cup,Goals,0
Port Vale,1964–65,Third Division,League,Apps,1
Port Vale,1964–65,Third Division,League,Goals,0
Port Vale,1964–65,Third Division,FA Cup,Apps,0
Port Vale,1964–65,Third Division,FA Cup,Goals,0
Port Vale,1964–65,Third Division,League Cup,Apps,0
Port Vale,1964–65,Third Division,League Cup,Goals,0
Port Vale,1965–66,Fourth Division,League,Apps,18
Port Vale,1965–66,Fourth Division,League,Goals,5
Port Vale,1965–66,Fourth Division,FA Cup,Apps,1
Port Vale,1965–66,Fourth Division,FA Cup,Goals,0
Port Vale,1965–66,Fourth Division,League Cup,Apps,1
Port Vale,1965–66,Fourth Division,League Cup,Goals,0
Port Vale,Total,Total,League,Apps,63
Port Vale,Total,Total,League,Goals,30
Port Vale,Total,Total,FA Cup,Apps,5
Port Vale,Total,Total,FA Cup,Goals,1
Port Vale,Total,Total,League Cup,Apps,1
Port Vale,Total,Total,League Cup,Goals,0
