id,longitude,latitude,group_id,sub_count,total_count
2,116.492007,39.954363,500,36,5436
3,116.498427,39.933855,500,20,11564
4,116.449565,39.930437,500,68,4601
5,116.481486,39.926471,500,49,7526
6,116.456163,39.934129,500,0,11024
7,116.445464,39.907186,500,35,10248
8,116.445464,39.907186,500,59,11338
9,116.533419,39.920454,500,37,18475
10,116.553748,39.947118,500,31,2559
11,116.467635,39.895179,500,38,9407
12,116.494968,39.886365,500,46,10095
13,116.467437,39.927842,500,71,7172
14,116.440897,39.922374,500,22,9692
15,116.43753,39.935891,500,84,9684
16,116.442284,39.9046,500,35,14350
17,116.445254,39.89989,500,83,14815
18,116.496631,39.926129,500,63,9179
19,116.471795,39.935891,500,72,8732
20,116.487255,39.942171,500,25,3672
21,116.456199,39.893724,500,87,471
22,116.485849,39.891566,500,21,2126
23,116.450105,39.88761,500,88,2102
24,116.491592,39.867914,500,44,4061
25,116.453886,39.913323,500,69,4455
26,116.504162,39.911075,500,75,6501
27,116.539319,39.89768,500,19,10769
28,116.511193,39.882124,500,7,16622
29,116.451074,39.93013,500,90,18449
30,116.471465,39.911345,500,35,5354
