age,household_registration_location,sex,count
0-4 years old,Total,Male,11605841
0-4 years old,Total,Female,10397704
0-4 years old,Province,Male,9580952
0-4 years old,Province,Female,8605973
0-4 years old,"Among them, the separation of household registration and residence within the district",Male,3165350
0-4 years old,"Among them, the separation of household registration and residence within the district",Female,2870351
0-4 years old,Out-of-province,Male,2024889
0-4 years old,Out-of-province,Female,1791731
0,Total,Male,1295623
0,Total,Female,1162105
0,Province,Male,1103497
0,Province,Female,991171
0,"Among them, the separation of household registration and residence within the district",Male,377687
0,"Among them, the separation of household registration and residence within the district",Female,343075
0,Out-of-province,Male,192126
0,Out-of-province,Female,170934
1,Total,Male,2220009
1,Total,Female,1994909
1,Province,Male,1833710
1,Province,Female,1652679
1,"Among them, the separation of household registration and residence within the district",Male,610271
1,"Among them, the separation of household registration and residence within the district",Female,553400
1,Out-of-province,Male,386299
1,Out-of-province,Female,342230
2,Total,Male,2379885
2,Total,Female,2137466
2,Province,Male,1954048
2,Province,Female,1758293
2,"Among them, the separation of household registration and residence within the district",Male,644164
2,"Among them, the separation of household registration and residence within the district",Female,586372
2,Out-of-province,Male,425837
2,Out-of-province,Female,379173
3,Total,Male,2870418
3,Total,Female,2584025
3,Province,Male,2368227
3,Province,Female,2137316
3,"Among them, the separation of household registration and residence within the district",Male,777964
3,"Among them, the separation of household registration and residence within the district",Female,706457
3,Out-of-province,Male,502191
3,Out-of-province,Female,446709
4,Total,Male,2839906
4,Total,Female,2519199
4,Province,Male,2321470
4,Province,Female,2066514
4,"Among them, the separation of household registration and residence within the district",Male,755264
4,"Among them, the separation of household registration and residence within the district",Female,681047
4,Out-of-province,Male,518436
4,Out-of-province,Female,452685
5-9 years old,Total,Male,13737473
5-9 years old,Total,Female,11853721
5-9 years old,Province,Male,11216658
5-9 years old,Province,Female,9742723
5-9 years old,"Among them, the separation of household registration and residence within the district",Male,3295867
5-9 years old,"Among them, the separation of household registration and residence within the district",Female,2905731
5-9 years old,Out-of-province,Male,2520815
5-9 years old,Out-of-province,Female,2110998
5,Total,Male,2555263
5,Total,Female,2239651
5,Province,Male,2074229
5,Province,Female,1827401
5,"Among them, the separation of household registration and residence within the district",Male,643195
5,"Among them, the separation of household registration and residence within the district",Female,573427
5,Out-of-province,Male,481034
5,Out-of-province,Female,412250
6,Total,Male,2833443
6,Total,Female,2454049
6,Province,Male,2324826
6,Province,Female,2026449
6,"Among them, the separation of household registration and residence within the district",Male,702823
6,"Among them, the separation of household registration and residence within the district",Female,619641
6,Out-of-province,Male,508617
6,Out-of-province,Female,427600
7,Total,Male,2722567
7,Total,Female,2348971
7,Province,Male,2225706
7,Province,Female,1932448
7,"Among them, the separation of household registration and residence within the district",Male,642726
7,"Among them, the separation of household registration and residence within the district",Female,566167
7,Out-of-province,Male,496861
7,Out-of-province,Female,416523
8,Total,Male,2951709
8,Total,Female,2529957
8,Province,Male,2409285
8,Province,Female,2080731
8,"Among them, the separation of household registration and residence within the district",Male,695360
8,"Among them, the separation of household registration and residence within the district",Female,609536
8,Out-of-province,Male,542424
8,Out-of-province,Female,449226
9,Total,Male,2674491
9,Total,Female,2281093
9,Province,Male,2182612
9,Province,Female,1875694
9,"Among them, the separation of household registration and residence within the district",Male,611763
9,"Among them, the separation of household registration and residence within the district",Female,536960
9,Out-of-province,Male,491879
9,Out-of-province,Female,405399
10-14 years old,Total,Male,12589332
10-14 years old,Total,Female,10777637
10-14 years old,Province,Male,10488621
10-14 years old,Province,Female,9086026
10-14 years old,"Among them, the separation of household registration and residence within the district",Male,2942098
10-14 years old,"Among them, the separation of household registration and residence within the district",Female,2595237
10-14 years old,Out-of-province,Male,2100711
10-14 years old,Out-of-province,Female,1691611
10,Total,Male,2598722
10,Total,Female,2204330
10,Province,Male,2126302
10,Province,Female,1820617
10,"Among them, the separation of household registration and residence within the district",Male,593561
10,"Among them, the separation of household registration and residence within the district",Female,518478
10,Out-of-province,Male,472420
10,Out-of-province,Female,383713
11,Total,Male,2608102
11,Total,Female,2214820
11,Province,Male,2140339
11,Province,Female,1835375
11,"Among them, the separation of household registration and residence within the district",Male,592457
11,"Among them, the separation of household registration and residence within the district",Female,518692
11,Out-of-province,Male,467763
11,Out-of-province,Female,379445
12,Total,Male,2513765
12,Total,Female,2148912
12,Province,Male,2096603
12,Province,Female,1810416
12,"Among them, the separation of household registration and residence within the district",Male,591429
12,"Among them, the separation of household registration and residence within the district",Female,519342
12,Out-of-province,Male,417162
12,Out-of-province,Female,338496
13,Total,Male,2426094
13,Total,Female,2081841
13,Province,Male,2046229
13,Province,Female,1775832
13,"Among them, the separation of household registration and residence within the district",Male,596390
13,"Among them, the separation of household registration and residence within the district",Female,526745
13,Out-of-province,Male,379865
13,Out-of-province,Female,306009
14,Total,Male,2442649
14,Total,Female,2127734
14,Province,Male,2079148
14,Province,Female,1843786
14,"Among them, the separation of household registration and residence within the district",Male,568261
14,"Among them, the separation of household registration and residence within the district",Female,511980
14,Out-of-province,Male,363501
14,Out-of-province,Female,283948
15-19 years old,Total,Male,21139311
15-19 years old,Total,Female,19143245
15-19 years old,Province,Male,17541034
15-19 years old,Province,Female,16509999
15-19 years old,"Among them, the separation of household registration and residence within the district",Male,4091078
15-19 years old,"Among them, the separation of household registration and residence within the district",Female,3756761
15-19 years old,Out-of-province,Male,3598277
15-19 years old,Out-of-province,Female,2633246
15,Total,Male,3500174
15,Total,Female,3123781
15,Province,Male,3148120
15,Province,Female,2865681
15,"Among them, the separation of household registration and residence within the district",Male,858554
15,"Among them, the separation of household registration and residence within the district",Female,796805
15,Out-of-province,Male,352054
15,Out-of-province,Female,258100
16,Total,Male,4622877
16,Total,Female,4102520
16,Province,Male,4148888
16,Province,Female,3784780
16,"Among them, the separation of household registration and residence within the district",Male,1103331
16,"Among them, the separation of household registration and residence within the district",Female,1023015
16,Out-of-province,Male,473989
16,Out-of-province,Female,317740
17,Total,Male,4312561
17,Total,Female,3819186
17,Province,Male,3719923
17,Province,Female,3431962
17,"Among them, the separation of household registration and residence within the district",Male,935097
17,"Among them, the separation of household registration and residence within the district",Female,858578
17,Out-of-province,Male,592638
17,Out-of-province,Female,387224
18,Total,Male,4163936
18,Total,Female,3766672
18,Province,Male,3275472
18,Province,Female,3111865
18,"Among them, the separation of household registration and residence within the district",Male,658027
18,"Among them, the separation of household registration and residence within the district",Female,578082
18,Out-of-province,Male,888464
18,Out-of-province,Female,654807
19,Total,Male,4539763
19,Total,Female,4331086
19,Province,Male,3248631
19,Province,Female,3315711
19,"Among them, the separation of household registration and residence within the district",Male,536069
