year,fdh_subgroup_cn,fdh_subgroup_en,age_group_cn,age_group_en,population_group,sex,attendance_rate
,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,ethnic_minorities,male,86.9
,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,ethnic_minorities,female,86.9
,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,whole_population,male,91.0
,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,whole_population,female,91.6
,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,ethnic_minorities,male,100.0
,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,ethnic_minorities,female,100.0
,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,whole_population,male,100.0
,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,whole_population,female,100.0
,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,ethnic_minorities,male,96.4
,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,ethnic_minorities,female,96.1
,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,whole_population,male,96.6
,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,whole_population,female,97.7
,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,38.5
,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,11.7
,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,male,48.9
,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,female,49.3
,25+,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,0.7
,25+,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,0.2
,25+,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,male,0.5
,25+,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,female,0.5
,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,23.4
,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,6.5
,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,male,19.4
,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,female,16.4
,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,ethnic_minorities,male,86.9
,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,ethnic_minorities,female,86.9
,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,whole_population,male,91.0
,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,whole_population,female,91.6
,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,ethnic_minorities,male,100.0
,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,ethnic_minorities,female,100.0
,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,whole_population,male,100.0
,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,whole_population,female,100.0
,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,ethnic_minorities,male,96.4
,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,ethnic_minorities,female,96.8
,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,whole_population,male,96.6
,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,whole_population,female,97.7
,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,38.9
,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,38.0
,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,male,49.0
,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,female,51.7
,25+,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,0.7
,25+,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,0.9
,25+,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,male,0.5
,25+,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,female,0.5
,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,24.0
,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,24.3
,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,male,19.4
,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,female,17.6
2016.0,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,ethnic_minorities,male,90.0
2016.0,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,ethnic_minorities,female,91.4
2016.0,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,whole_population,male,92.7
2016.0,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,whole_population,female,92.3
2016.0,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,ethnic_minorities,male,100.0
2016.0,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,ethnic_minorities,female,100.0
2016.0,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,whole_population,male,100.0
2016.0,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,whole_population,female,100.0
2016.0,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,ethnic_minorities,male,95.8
2016.0,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,ethnic_minorities,female,96.5
2016.0,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,whole_population,male,97.6
2016.0,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,whole_population,female,98.0
2016.0,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,41.3
2016.0,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,22.4
2016.0,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,male,50.8
2016.0,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,female,52.7
2016.0,25+,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,1.0
2016.0,25+,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,0.2
2016.0,25+,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,male,0.6
2016.0,25+,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,female,0.6
2016.0,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,22.4
2016.0,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,6.3
2016.0,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,male,18.2
2016.0,3歲及以上,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,female,14.9
2016.0,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,ethnic_minorities,male,90.0
2016.0,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,ethnic_minorities,female,91.4
2016.0,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,whole_population,male,92.7
2016.0,3 – 5[2],Excluding foreign domestic helpers,3 – 5[2],3–5,whole_population,female,92.3
2016.0,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,ethnic_minorities,male,100.0
2016.0,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,ethnic_minorities,female,100.0
2016.0,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,whole_population,male,100.0
2016.0,6 – 11,Excluding foreign domestic helpers,6 – 11,6–11,whole_population,female,100.0
2016.0,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,ethnic_minorities,male,95.8
2016.0,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,ethnic_minorities,female,96.5
2016.0,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,whole_population,male,97.6
2016.0,12 – 17,Excluding foreign domestic helpers,12 – 17,12–17,whole_population,female,98.0
2016.0,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,41.9
2016.0,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,44.8
2016.0,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,male,50.8
2016.0,18 – 24,Excluding foreign domestic helpers,18 – 24,18–24,whole_population,female,54.4
2016.0,25+,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,male,1.0
2016.0,25+,Excluding foreign domestic helpers,18 – 24,18–24,ethnic_minorities,female,1.0
