transfer_date,player_nationality,player_name,club_country,club_name,transfer_fee
1 August 2000,Austria,Friedrich Breitenfelder,Austria,St. Pölten,Free
2 August 2000,England,Peter Holmes,Unknown,Sheffield Wednesday,Free
7 August 2000,England,Mark Ovendale,Unknown,Bournemouth,"£425,000"
10 August 2000,Republic of Ireland,Dean Brennan,Unknown,Sheffield Wednesday,Free
11 September 2000,England,Peter Thomson,Netherlands,NAC Breda,"£100,000"
24 October 2000,England,Rocky Baptiste,Unknown,Hayes,Free
2 November 2000,Finland,Petri Helin,Finland,FC Jokerit,Free
3 November 2000,Norway,Kent Karlsen,Norway,Vålerenga,Free
23 November 2000,Wales,Lee Nogan,Unknown,Darlington,Free
2 February 2001,England,Richard Dryden,Unknown,Southampton,Free
22 March 2001,England,Paul Shepherd,Unknown,Scunthorpe United,Free
22 March 2001,Scotland,Steve Howard,Unknown,Northampton Town,"£50,000"
