表3.3            ,Unnamed: 1,2011年、2016年及2021年按種族及年齡組別劃分的少數族裔人士數目,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,索引 Index
Table 3.3     ,nan,"Ethnic minorities by ethnicity and age group, 2011, 2016 and 2021",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,"年齡組別
Age group",nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,< 15,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65+,"總計
Total","年齡
中位數
Median 
age",nan
"年份
Year","種族
Ethnicity",nan,"數目（百分比[1]）
Number (%[1])",nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,亞洲人（非華人）,nan,23984,25650,152228,103841,41396,13196,5316,365611,33.6,nan
nan,Asian (other than Chinese),nan,6.6,7,41.6,28.4,11.3,3.6,1.5,100,nan,nan
nan,菲律賓人,nan,2918,4016,45840,48555,25243,5768,678,133018,37.7,nan
nan,Filipino,nan,2.2,3,34.5,36.5,19,4.3,0.5,100,nan,nan
nan,印尼人,nan,302,12405,85764,31846,2255,483,322,133377,30.7,nan
nan,Indonesian,nan,0.2,9.3,64.3,23.9,1.7,0.4,0.2,100,nan,nan
nan,南亞裔人士,nan,16824,7812,15271,13388,6110,3204,2912,65521,31.2,nan
nan,South Asian,nan,25.7,11.9,23.3,20.4,9.3,4.9,4.4,100,nan,nan
nan,印度人,nan,5767,2965,7175,5880,3113,1756,1960,28616,33,nan
nan,Indian,nan,20.2,10.4,25.1,20.5,10.9,6.1,6.8,100,nan,nan
nan,尼泊爾人,nan,3562,2521,3923,3850,1836,474,352,16518,32.1,nan
nan,Nepalese,nan,21.6,15.3,23.7,23.3,11.1,2.9,2.1,100,nan,nan
nan,巴基斯坦人,nan,7148,2130,3678,3068,816,627,575,18042,24.2,nan
nan,Pakistani,nan,39.6,11.8,20.4,17,4.5,3.5,3.2,100,nan,nan
nan,其他南亞裔人士[2],nan,347,196,495,590,345,347,25,2345,37.7,nan
nan,Other South Asian[2],nan,14.8,8.4,21.1,25.2,14.7,14.8,1.1,100,nan,nan
nan,泰國人,nan,398,266,1540,3563,3405,1656,385,11213,44.6,nan
nan,Thai,nan,3.5,2.4,13.7,31.8,30.4,14.8,3.4,100,nan,nan
nan,日本人,nan,2152,377,1724,3893,2694,1244,496,12580,40.1,nan
nan,Japanese,nan,17.1,3,13.7,30.9,21.4,9.9,3.9,100,nan,nan
nan,韓國人,nan,897,290,958,1552,854,463,195,5209,38,nan
nan,Korean,nan,17.2,5.6,18.4,29.8,16.4,8.9,3.7,100,nan,nan
nan,其他亞洲人,nan,493,484,1131,1044,835,378,328,4693,37.3,nan
nan,Other Asian,nan,10.5,10.3,24.1,22.2,17.8,8.1,7,100,nan,nan
nan,白人,nan,9295,4031,9512,13197,10149,5855,3197,55236,38.5,nan
nan,White,nan,16.8,7.3,17.2,23.9,18.4,10.6,5.8,100,nan,nan
nan,混血兒,nan,10826,5007,4163,3330,2898,1380,1397,29001,21,nan
nan,Mixed,nan,37.3,17.3,14.4,11.5,10,4.8,4.8,100,nan,nan
nan,華人父或母,nan,8429,4449,3544,2899,2688,1321,1319,24649,22.9,nan
nan,With Chinese parent,nan,34.2,18,14.4,11.8,10.9,5.4,5.4,100,nan,nan
nan,其他混血兒,nan,2397,558,619,431,210,59,78,4352,13.4,nan
nan,Other mixed,nan,55.1,12.8,14.2,9.9,4.8,1.4,1.8,100,nan,nan
nan,其他[3],nan,215,80,380,453,158,49,-,1335,34.9,nan
nan,Others[3],nan,16.1,6,28.5,33.9,11.8,3.7,-,100,nan,nan
nan,所有少數族裔人士,nan,44320,34768,166283,120821,54601,20480,9910,451183,33.7,nan
nan,All ethnic minorities,nan,9.8,7.7,36.9,26.8,12.1,4.5,2.2,100,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,撇除外籍家庭傭工後的所有少數族裔人士,nan,44320,19536,35835,43393,28907,15333,9698,197022,34.7,nan
nan,"All ethnic minorities, excluding foreign domestic helpers",nan,22.5,9.9,18.2,22,14.7,7.8,4.9,100,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,全港人口,nan,823560,875234,1084120,1135285,1289430,922635,941312,7071576,41.7,nan
nan,Whole population,nan,11.6,12.4,15.3,16.1,18.2,13,13.3,100,nan,nan
