表4.1,Unnamed: 1,2011年、2016年及2021年按種族、婚姻狀況及性別劃分的15歲及以上少數族裔人士百分比分布,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,索引 Index
Table 4.1,nan,"Percentage distribution of ethnic minorities aged 15 and over by ethnicity, marital status and sex, 2011, 2016 and 2021",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,"婚姻狀況
Marital status",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,"從未結婚
Never married",nan,nan,"已婚
Married",nan,nan,"喪偶／離婚／分居
Widowed/divorced/
separated",nan,nan,"總計
Total",nan,nan,nan
"年份  
Year ","種族  
Ethnicity",nan,"男
Male","女
Female","合計
Overall","男
Male","女
Female","合計
Overall","男
Male","女
Female","合計
Overall","男
Male","女
Female","合計
Overall",nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,亞洲人（非華人）,nan,23,35.6,34.1,73.9,56.3,58.4,3.1,8.1,7.5,100,100,100,nan
nan,Asian (other than Chinese),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,菲律賓人,nan,26.1,36.4,35.9,68.8,54,54.7,5.1,9.6,9.4,100,100,100,nan
nan,Filipino,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,印尼人,nan,29.2,40.4,40.4,68.2,52.6,52.7,2.6,7,6.9,100,100,100,nan
nan,Indonesian,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,南亞裔人士,nan,23.7,20.2,22,73.6,74.6,74.1,2.7,5.2,3.9,100,100,100,nan
nan,South Asian,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,印度人,nan,22.9,20.9,21.9,74.4,73.4,73.9,2.7,5.7,4.2,100,100,100,nan
nan,Indian,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
